home_team,avg_home_scored,avg_home_conceded,home_attack_strength,home_defense_strength,avg_away_scored,avg_away_conceded,away_attack_strength,away_defense_strength
Southampton,1.3695652173913044,1.315217391304348,0.8945580739416173,1.1300801178578248,0.991304347826087,1.684782608695652,0.8517628656911871,1.1004484242932593
Stoke,1.305263157894737,1.1210526315789473,0.8525579371366726,0.9632470634859476,0.7894736842105263,1.6421052631578947,0.6783430024548927,1.072572888655814
Sunderland,1.105263157894737,1.2203947368421053,0.7219240596721824,1.0486052246281883,0.9078947368421053,1.7532894736842106,0.7800944528231266,1.145195011325218
Swansea,1.3458646616541354,1.2781954887218046,0.8790775964715691,1.0982696230222073,0.9548872180451128,1.6015037593984962,0.8204720124930607,1.0460532293209173
Swindon,1.1904761904761905,2.142857142857143,0.7775826039552984,1.8412167209489945,1.0476190476190477,2.619047619047619,0.9001503969083974,1.7106817287016567
Tottenham,1.7401960784313726,1.1111111111111112,1.136642806369951,0.9547049664179972,1.3529411764705883,1.4395424836601307,1.1624936944030906,0.9402650820769266
Watford,1.1842105263157894,1.5526315789473684,0.773490063934481,1.3340745714946223,0.8552631578947368,1.855263157894737,0.7348715859928004,1.2118011001640205
West Brom,1.194331983805668,1.4615384615384615,0.7801010901219554,1.2558042250575192,0.8704453441295547,1.6639676113360324,0.7479166437323176,1.0868527052207582
West Ham,1.4594594594594594,1.2990990990990992,0.9532742409570902,1.11623072560115,1.0324324324324323,1.61981981981982,0.8871015336608308,1.0580167192844743
Wigan,1.111842105263158,1.4144736842105263,0.7262212266940407,1.215364546065016,0.9671052631578947,1.756578947368421,0.8309701780072435,1.147343594836147
Wimbledon,1.3576642335766422,1.2773722627737227,0.88678471563486,1.0975622789112012,1.0364963503649636,1.7664233576642336,0.8905933920308032,1.1537736622776138
Wolves,1.2105263157894737,1.444976076555024,0.7906787320219141,1.241573252978046,1.0047846889952152,1.6842105263157894,0.8633456394880452,1.1000747575957064
