home_team,avg_home_scored,avg_home_conceded,avg_away_scored,avg_away_conceded,home_attack_strength,home_defense_strength,away_attack_strength,away_defense_strength
Schalke 04,1.6085192697768762,1.0872210953346857,1.1683569979716024,1.5233265720081135,0.9570931345357901,0.860202038759669,0.9243962207566592,0.9064021992892539
St Pauli,1.1274509803921569,1.6568627450980393,0.8725490196078431,1.8627450980392157,0.6708502739968181,1.3108986915302046,0.6903549322259657,1.1083613222556126
Stuttgart,1.715370018975332,1.2106261859582543,1.3605313092979128,1.715370018975332,1.0206709358089034,0.9578393187970268,1.0764432469866272,1.0206709358089034
Uerdingen,1.4411764705882353,1.588235294117647,0.6176470588235294,1.588235294117647,0.857521654587237,1.2566011125910836,0.4886782104520881,0.9450238642389959
Ulm,1.2941176470588236,1.3529411764705883,0.8235294117647058,2.2941176470588234,0.7700194449354781,1.070437984799812,0.6515709472694508,1.3650344705674384
Union Berlin,1.4873949579831933,1.218487394957983,1.0672268907563025,1.7226890756302522,0.8850223490492184,0.9640590546333709,0.844382758196125,1.0250258844920326
Unterhaching,1.2647058823529411,0.8823529411764706,0.9411764705882353,2.088235294117647,0.7525190030051263,0.6981117292172686,0.7446525111650866,1.2425313770549762
Wattenscheid,1.8235294117647058,1.588235294117647,1.0,2.5294117647058822,1.08502739968181,1.2566011125910836,0.7911932931129045,1.5050380060102526
Werder Bremen,1.7573529411764706,1.3639705882352942,1.4485294117647058,1.661764705882353,1.0456514053385186,1.0791643814150278,1.1460667554650161,0.9887749690648754
Wolfsburg,1.7221095334685599,1.3002028397565923,1.2758620689655173,1.671399594320487,1.0246810481978386,1.0287117665017684,1.0094535119026713,0.9945078724558527
